eventID,occurrenceID,measurementType,measurmenetTypeID,measurementValue,measurementUnit,measurementUnitID
ARG_PMADRY_PCUEVA_RS_2018115_HIGH,ARG_PMADRY_PCUEVA_RS_2018115_HIGH_S01_001,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,1,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARG_PMADRY_PCUEVA_RS_2018115_HIGH,ARG_PMADRY_PCUEVA_RS_2018115_HIGH_S01_002,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,13,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARG_PMADRY_PCUEVA_RS_2018115_HIGH,ARG_PMADRY_PCUEVA_RS_2018115_HIGH_S02_002,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,2,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARG_PMADRY_PCUEVA_RS_2018115_HIGH,ARG_PMADRY_PCUEVA_RS_2018115_HIGH_S02_003,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,2,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARG_PMADRY_PCUEVA_RS_2018115_HIGH,ARG_PMADRY_PCUEVA_RS_2018115_HIGH_S02_004,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,73,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARG_PMADRY_PCUEVA_RS_2018115_HIGH,ARG_PMADRY_PCUEVA_RS_2018115_HIGH_S02_005,abundance,http://vocab.nerc.ac.uk/collection/P06/current/UPMS/,72,count,http://vocab.nerc.ac.uk/collection/P06/current/UPMS/
ARG_PMADRY_PCUEVA_RS_2018115_HIGH,ARG_PMADRY_PCUEVA_RS_2018115_HIGH_S03_001,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,68,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARG_PMADRY_PCUEVA_RS_2018115_HIGH,ARG_PMADRY_PCUEVA_RS_2018115_HIGH_S04_001,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,82,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARG_PMADRY_PCUEVA_RS_2018115_HIGH,ARG_PMADRY_PCUEVA_RS_2018115_HIGH_S05_001,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,86,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
ARG_PMADRY_PCUEVA_RS_2018115_HIGH,ARG_PMADRY_PCUEVA_RS_2018115_HIGH_S06_001,cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,10,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
